cycle,event_type,severity,message,value
70,"adcs_correction_started","info","ADCS correction started",""
70,"tracker_recovered","info","Tracker recovered",""
71,"adcs_correction_stopped","info","ADCS correction stopped",""
71,"tracker_degraded","warn","Tracker degraded",""
73,"heater_activated","info","Thermal heater activated",""
74,"heater_deactivated","info","Thermal heater deactivated",""
76,"adcs_correction_started","info","ADCS correction started",""
76,"tracker_recovered","info","Tracker recovered",""
79,"adcs_correction_stopped","info","ADCS correction stopped",""
79,"tracker_degraded","warn","Tracker degraded",""
79,"heater_activated","info","Thermal heater activated",""
80,"heater_deactivated","info","Thermal heater deactivated",""
81,"adcs_correction_started","info","ADCS correction started",""
81,"tracker_recovered","info","Tracker recovered",""
85,"heater_activated","info","Thermal heater activated",""
86,"heater_deactivated","info","Thermal heater deactivated",""
87,"adcs_correction_stopped","info","ADCS correction stopped",""
87,"tracker_degraded","warn","Tracker degraded",""
89,"downlink_active","info","Downlink became active",""
89,"compute_budget_low","warn","Compute budget dropped below threshold","38.626777"
90,"camera_capture_started","info","Camera/demo capture started","image_file"
90,"camera_capture_completed","info","Image-file capture ready","out_profile/full_demo/datasets/dataset_4/raw_capture_from_file.ppm"
90,"payload_alignment_succeeded","info","Marker alignment succeeded","0.502268"
90,"payload_capture_accepted","info","Payload capture accepted","dataset_4"
90,"ring_observation_used","info","Ring-like observation path selected","out_profile/full_demo/datasets/dataset_4/ring_unwrapped_preview.ppm"
90,"payload_dataset_ready","info","Payload dataset ready","dataset_4"
91,"adcs_correction_started","info","ADCS correction started",""
91,"tracker_recovered","info","Tracker recovered",""
91,"heater_activated","info","Thermal heater activated",""
91,"compute_budget_low","warn","Compute budget dropped below threshold","30.812303"
92,"adcs_correction_stopped","info","ADCS correction stopped",""
92,"tracker_degraded","warn","Tracker degraded",""
92,"heater_deactivated","info","Thermal heater deactivated",""
94,"adcs_correction_started","info","ADCS correction started",""
94,"tracker_recovered","info","Tracker recovered",""
96,"adcs_correction_stopped","info","ADCS correction stopped",""
96,"tracker_degraded","warn","Tracker degraded",""
97,"heater_activated","info","Thermal heater activated",""
97,"downlink_inactive","info","Downlink became inactive",""
98,"adcs_correction_started","info","ADCS correction started",""
98,"tracker_recovered","info","Tracker recovered",""
98,"heater_deactivated","info","Thermal heater deactivated",""
101,"adcs_correction_stopped","info","ADCS correction stopped",""
101,"tracker_degraded","warn","Tracker degraded",""
103,"heater_activated","info","Thermal heater activated",""
103,"compute_budget_low","warn","Compute budget dropped below threshold","37.771177"
104,"heater_deactivated","info","Thermal heater deactivated",""
106,"adcs_correction_started","info","ADCS correction started",""
106,"tracker_recovered","info","Tracker recovered",""
107,"adcs_correction_stopped","info","ADCS correction stopped",""
107,"tracker_degraded","warn","Tracker degraded",""
108,"adcs_correction_started","info","ADCS correction started",""
108,"tracker_recovered","info","Tracker recovered",""
109,"heater_activated","info","Thermal heater activated",""
109,"compute_budget_low","warn","Compute budget dropped below threshold","39.343240"
110,"adcs_correction_stopped","info","ADCS correction stopped",""
110,"tracker_degraded","warn","Tracker degraded",""
110,"heater_deactivated","info","Thermal heater deactivated",""
111,"adcs_correction_started","info","ADCS correction started",""
111,"tracker_recovered","info","Tracker recovered",""
112,"camera_capture_started","info","Camera/demo capture started","image_file"
112,"camera_capture_completed","info","Image-file capture ready","out_profile/full_demo/datasets/dataset_5/raw_capture_from_file.ppm"
112,"payload_alignment_succeeded","info","Marker alignment succeeded","0.502268"
112,"payload_capture_accepted","info","Payload capture accepted","dataset_5"
112,"ring_observation_used","info","Ring-like observation path selected","out_profile/full_demo/datasets/dataset_5/ring_unwrapped_preview.ppm"
112,"payload_dataset_ready","info","Payload dataset ready","dataset_5"
113,"adcs_correction_stopped","info","ADCS correction stopped",""
113,"tracker_degraded","warn","Tracker degraded",""
115,"adcs_correction_started","info","ADCS correction started",""
115,"tracker_recovered","info","Tracker recovered",""
115,"heater_activated","info","Thermal heater activated",""
116,"adcs_correction_stopped","info","ADCS correction stopped",""
116,"tracker_degraded","warn","Tracker degraded",""
116,"heater_deactivated","info","Thermal heater deactivated",""
119,"adcs_correction_started","info","ADCS correction started",""
119,"tracker_recovered","info","Tracker recovered",""
119,"propulsion_burn_started","info","Propulsion burn started",""
119,"downlink_active","info","Downlink became active",""
119,"compute_budget_low","warn","Compute budget dropped below threshold","33.241299"
121,"adcs_correction_stopped","info","ADCS correction stopped",""
121,"tracker_degraded","warn","Tracker degraded",""
121,"heater_activated","info","Thermal heater activated",""
122,"adcs_correction_started","info","ADCS correction started",""
122,"tracker_recovered","info","Tracker recovered",""
122,"heater_deactivated","info","Thermal heater deactivated",""
123,"propulsion_burn_stopped","info","Propulsion burn stopped",""
125,"adcs_correction_stopped","info","ADCS correction stopped",""
125,"tracker_degraded","warn","Tracker degraded",""
127,"heater_activated","info","Thermal heater activated",""
127,"downlink_inactive","info","Downlink became inactive",""
128,"tracker_recovered","info","Tracker recovered",""
128,"heater_deactivated","info","Thermal heater deactivated",""
129,"tracker_degraded","warn","Tracker degraded",""
133,"heater_activated","info","Thermal heater activated",""
134,"camera_capture_started","info","Camera/demo capture started","image_file"
134,"camera_capture_completed","info","Image-file capture ready","out_profile/full_demo/datasets/dataset_6/raw_capture_from_file.ppm"
134,"payload_alignment_succeeded","info","Marker alignment succeeded","0.502268"
134,"payload_capture_accepted","info","Payload capture accepted","dataset_6"
134,"ring_observation_used","info","Ring-like observation path selected","out_profile/full_demo/datasets/dataset_6/ring_unwrapped_preview.ppm"
134,"tracker_recovered","info","Tracker recovered",""
134,"heater_deactivated","info","Thermal heater deactivated",""
134,"payload_dataset_ready","info","Payload dataset ready","dataset_6"
137,"tracker_degraded","warn","Tracker degraded",""
138,"tracker_recovered","info","Tracker recovered",""
139,"heater_activated","info","Thermal heater activated",""
